comentario,codigo_semestre,nombre_curso,tipo,topico,semstre_malla,seccion,codigo,semestre,Departamento
Comentario para el curso no el docente.... creo que los cursos en beta quizás seria mejor fueran descoordinados y pudiese hacerse más actividades para evaluar tanta materia no solo 3 controles con todo y los ejercicios... Siento que era retener muchísima información y no podía profundizar de la mejor manera la materia para poder analizar bien los problemas.,FI1100-1 - Otoño 2023,Introducción a la Física Moderna,0,Otros,2,1,FI1100, Otoño 2023,Departamento de fisica
"Diría mayor presencia en el foro, aunque este semestre gracias a Max no hizo falta",FI2001-1 - Otoño 2023,Mecánica,0,Reconocimiento a Profesores y Auxiliares,3,1,FI2001, Otoño 2023,Departamento de fisica
"Profesora dispuesta a resolver dudas, abarcando la materia desde la base para asegurarse de que se entendiera.

Auxiliares buenos y dispuestos a ayudar.",FI2003-5 - Otoño 2023,Métodos Experimentales,1,Otros,3,5,FI2003, Otoño 2023,Departamento de fisica
"ir con más calma en el momento de explicar el contenido de la clase puesto que es mucha información, por lo que ir muy rápido no se termina de captar las ideas.",MA1001-1 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,1,MA1001, Otoño 2023,Departamento de ingenieria matematica
"muy buena profe, buena metodología de enseñanza",MA2001-4 - Otoño 2023,Cálculo en Varias Variables,1,Experiencia Educativa,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Espero que para un próximo curso que tome el profesor tenga un mejor desarrollo de la clase para que alcance a pasar toda la materia que se necesita para los controles, pues hubieron controles en los que no alcanzamos a ver toda la materia y la respuesta del profesor fue ""deben poner de su parte también"", si bien es comprensible su punto pero es trabajo del docente cumplir con la planificación del curso.",MA1101-9 - Otoño 2023,Introducción al Álgebra,0,Calidad de la Enseñanza,1,9,MA1101, Otoño 2023,Departamento de ingenieria matematica
NADA,CC1000-7 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Otros,1,7,CC1000, Otoño 2023,Departamento ciencias de la computación
El profe sabe mucho en verdad.,IQ2211-6 - Otoño 2023,Química,1,Reconocimiento a Profesores y Auxiliares,3,6,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Francisca Luco fue bastante desagradable a la hora de hacer reclamos de los controles. Me pareció de bastante mal gusto que se refiriera a sí misma como “dios benevolente” y su mal tono y mala disposición. No es necesario que se le suba puntaje a cada persona que haga un reclamo, pero una respuesta negativa debe hacerse desde el respeto. Que a alguien no le haya ido bien a un control no es motivo para ser tratado de la manera en que ella lo hizo. Además en los auxiliares en vez de dar la respuesta a las preguntas decía cosas como por ejemplo  “No sé, dime tú”, y entiendo que es importante que las personas presentes en la clase deban estar atentos y deben buscar las respuestas de igual forma, pero que no se nos otorgue feedback sobre nuestras respuestas dificulta el proceso de aprendizaje.",IQ2211-3 - Otoño 2023,Química,0,Evaluaciones y Controles,3,3,IQ2211, Otoño 2023,Departamento de ingenieria quimica
"Explica con claridad los contenidos. 

Sus ejemplos de la materia, logran aterrizar el aprendizaje. 

Va a muy buen ritmo. 

Buena profesora.",MA2001-4 - Otoño 2023,Cálculo en Varias Variables,1,Calidad de la Enseñanza,3,4,MA2001, Otoño 2023,Departamento de ingenieria matematica
"Javier Huenupi el mejor auxiliar que he tenido en la Universidad, sus clases auiliares muy buenas, con buena disposición a explicar los contenidos y lo mejor, sus pautas que te dejeban aún más claro la materia.",FI2001-3 - Otoño 2023,Mecánica,1,Calidad de la Enseñanza,3,3,FI2001, Otoño 2023,Departamento de fisica
:),MA1001-7 - Otoño 2023,Introducción al Cálculo,1,Otros,1,7,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Lo peor que podía pasar era sentarse en el fondo, ya que la letra del docente no se entiende mucho y se dificultaba el entendimiento de la clase al intentar entender que se escribía en la pizarra",MA1001-3 - Otoño 2023,Introducción al Cálculo,0,Estilo de Enseñanza y Dinámica de Clases,1,3,MA1001, Otoño 2023,Departamento de ingenieria matematica
"Generó un ambiente de confianza, mostró interés y empatía hacia los estudiantes buscando maneras de ser una ayuda más que una carga más, se comprometió con el aprendizaje.",FI2001-3 - Otoño 2023,Mecánica,1,Experiencia y Organización del Curso,3,3,FI2001, Otoño 2023,Departamento de fisica
Seguridad,MA1002-1 - Otoño 2023,Cálculo Diferencial e Integral,0,Otros,2,1,MA1002, Otoño 2023,Departamento de ingenieria matematica
"Fue una docente espectacular logrando que no solo entendamos la mecanización de cómo resolver ejercicios para pasar el curso, sino que llevándonos a entender en mayor profundidad los contenidos. Además los ayudantes siempre dispuestos a ayudarnos y la profe con muy buena disposición a escuchar propuestas o problemas de los alumnos",MA2601-2 - Otoño 2023,Ecuaciones Diferenciales Ordinarias,1,Atención y Disposición Docente,3,2,MA2601, Otoño 2023,Departamento de ingenieria matematica
Clases entretenidas e interesantes,FI2001-2 - Otoño 2023,Mecánica,1,Experiencia Educativa,3,2,FI2001, Otoño 2023,Departamento de fisica
Muy entretenido en sus clases ademas de siempre responder dudas y aunque explique de manera rapida lo hace muy ordendo por lo que se le entiende.,FI1000-4 - Otoño 2023,Introducción a la Física Clásica,1,Atención y Disposición Docente,1,4,FI1000, Otoño 2023,Departamento de fisica
Todo bien para el ramo :),CC1000-15 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,0,Reconocimiento a Profesores y Auxiliares,1,15,CC1000, Otoño 2023,Departamento ciencias de la computación
"Para el docente Rafael Molina, el estar más presente e interesado en el desarrollo del curso.",CD1201-1 - Otoño 2023,Proyecto de Innovación en Ingeniería y Ciencias,0,Experiencia Educativa,2,1,CD1201, Otoño 2023,Area de innovacion
"todo bien, muy bacanes los aux y buen profe;)",CC1000-10 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Reconocimiento a Profesores y Auxiliares,1,10,CC1000, Otoño 2023,Departamento ciencias de la computación
"Siempre muy alegre y apasionado por lo que decía, respondía todas las preguntas y era muy interesante como conducía la clase y como relacionaba los contenidos.",BT1211-8 - Otoño 2023,Aplicaciones de la Biología a la Ingeniería y Ciencias,1,Atención y Disposición Docente,1,8,BT1211, Otoño 2023,Departamento de ingenieria en biotecnologia
no subia las pautas de las pruebas para poder estudiar,FI1000-10 - Otoño 2023,Introducción a la Física Clásica,0,Evaluaciones y Controles,1,10,FI1000, Otoño 2023,Departamento de fisica
"Las clases fueron excelentes, especialmente las actividades prácticas, que estaban cuidadosamente diseñadas para aplicar los conceptos aprendidos en los videos de manera efectiva y en un tiempo adecuado. Cada problema presentaba el nivel justo de desafío, lo que permitió un aprendizaje significativo. Además, la organización del curso fue impecable, y el profesor demostró empatía con los alumnos, lo que generó un ambiente de aprendizaje positivo. Su capacidad para motivarnos a dar lo mejor de nosotros en cada tarea también fue destacable.",CC1000-20 - Otoño 2023,Herramientas Computacionales para Ingeniería y Ciencias,1,Experiencia y Organización del Curso,1,20,CC1000, Otoño 2023,Departamento ciencias de la computación
